#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321AC1D4D,,,
#Date Time: 2020-12-03 16:30:41.368,,,
#Sample rate: 7.69231e+06Hz,,,
#Samples: 8192,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,,
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: Sine,,,
#Frequency: 10 kHz,,,
#Period: 100 us,,,
#Amplitude: 1 V,,,
#Offset: 2.5 V,,,
#Symmetry: 50 %,,,
#Phase: 0 ��,,,
#Power Supplies: ON,,,
#Positive Supply: ON,,,
#Voltage: 5 V,,,
#Negative Supply: ON,,,
#Voltage: -5 V,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),
0.43167826,2.535167931,2.90750183,
0.43167839,2.505058077,2.914947336,
0.43167852,2.482475687,2.922365156,
0.43167865,2.452365833,2.929754798,
0.43167878,2.429783443,2.937115767,
0.43167891,2.407201052,2.944447572,
0.43167904,2.377091198,2.951749725,
0.43167917,2.350745076,2.959021737,
0.4316793,2.328162686,2.966263125,
0.43167943,2.301816564,2.973473404,
0.43167956,2.279234173,2.980652095,
0.43167969,2.256651783,2.987798716,
0.43167982,2.23030566,2.994912793,
0.43167995,2.196432075,3.001993851,
0.43168008,2.177613416,3.009041416,
0.43168021,2.151267294,3.016055019,
0.43168034,2.124921172,3.023034191,
0.43168047,2.102338781,3.029978468,
0.4316806,2.079756391,3.036887385,
0.43168073,2.049646537,3.043760483,
0.43168086,2.023300415,3.050597301,
0.43168099,1.996954293,3.057397385,
0.43168112,1.966844439,3.064160281,
0.43168125,1.936734585,3.070885536,
0.43168138,1.914152194,3.077572703,
0.43168151,1.887806072,3.084221336,
0.43168164,1.857696218,3.09083099,
0.43168177,1.835113828,3.097401226,
0.4316819,1.812531437,3.103931603,
0.43168203,1.789949047,3.110421688,
0.43168216,1.759839193,3.116871046,
0.43168229,1.737256803,3.123279248,
0.43168242,1.718438144,3.129645866,
0.43168255,1.692092022,3.135970475,
0.43168268,1.665745899,3.142252653,
0.43168281,1.635636046,3.148491981,
0.43168294,1.605526192,3.154688044,
0.43168307,1.582943801,3.160840426,
0.4316832,1.556597679,3.166948719,
0.43168333,1.530251557,3.173012514,
0.43168346,1.503905435,3.179031406,
0.43168359,1.481323044,3.185004995,
0.43168372,1.447449459,3.190932882,
0.43168385,1.424867068,3.196814671,
0.43168398,1.394757214,3.20264997,
0.43168411,1.368411092,3.208438389,
0.43168424,1.353356165,3.214179543,
0.43168437,1.330773775,3.219873048,
0.4316845,1.304427652,3.225518524,
0.43168463,1.285608994,3.231115595,
0.43168476,1.25549914,3.236663887,
0.43168489,1.225389286,3.24216303,
